,Tool,ID,Description,IaC,Provider,Severity,Query Document,Related Document
1666,KICS,ce7c874e-1b88-450b-a5e4-cb76ada3c8a9,Github Organization Webhook With SSL Disabled,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/github/latest/docs/resources/organization_webhook,https://docs.kics.io/latest/queries/terraform-queries/ce7c874e-1b88-450b-a5e4-cb76ada3c8a9
1667,KICS,15d8a7fd-465a-4d15-a868-add86552f17b,GitHub Repository Set To Public,Terraform,,Medium,https://www.terraform.io/docs/providers/github/r/repository.html,https://docs.kics.io/latest/queries/terraform-queries/15d8a7fd-465a-4d15-a868-add86552f17b
1668,KICS,86a947ea-f577-4efb-a8b0-5fc00257d521,Non Kube System Pod With Host Mount,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod,https://docs.kics.io/latest/queries/terraform-queries/86a947ea-f577-4efb-a8b0-5fc00257d521
1669,KICS,a9174d31-d526-4ad9-ace4-ce7ddbf52e03,Cluster Allows Unsafe Sysctls,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#allowed_unsafe_sysctls,https://docs.kics.io/latest/queries/terraform-queries/a9174d31-d526-4ad9-ace4-ce7ddbf52e03
1670,KICS,87065ef8-de9b-40d8-9753-f4a4303e27a4,Container Is Privileged,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#privileged,https://docs.kics.io/latest/queries/terraform-queries/87065ef8-de9b-40d8-9753-f4a4303e27a4
1671,KICS,0ad60203-c050-4115-83b6-b94bde92541d,Container Runs Unmasked,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#allowed_proc_mount_types,https://docs.kics.io/latest/queries/terraform-queries/0ad60203-c050-4115-83b6-b94bde92541d
1672,KICS,3f55386d-75cd-4e9a-ac47-167b26c04724,Containers With Sys Admin Capabilities,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#capabilities-1,https://docs.kics.io/latest/queries/terraform-queries/3f55386d-75cd-4e9a-ac47-167b26c04724
1673,KICS,c878abb4-cca5-4724-92b9-289be68bd47c,Privilege Escalation Allowed,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#allow_privilege_escalation,https://docs.kics.io/latest/queries/terraform-queries/c878abb4-cca5-4724-92b9-289be68bd47c
1674,KICS,4950837c-0ce5-4e42-9bee-a25eae73740b,PSP Allows Containers To Share The Host Network Namespace,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#host_network,https://docs.kics.io/latest/queries/terraform-queries/4950837c-0ce5-4e42-9bee-a25eae73740b
1675,KICS,2bff9906-4e9b-4f71-9346-8ebedfdf43ef,PSP Allows Privilege Escalation,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#allow_privilege_escalation,https://docs.kics.io/latest/queries/terraform-queries/2bff9906-4e9b-4f71-9346-8ebedfdf43ef
1676,KICS,51bed0ac-a8ae-407a-895e-90c6cb0610ce,PSP Allows Sharing Host IPC,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#host_ipc,https://docs.kics.io/latest/queries/terraform-queries/51bed0ac-a8ae-407a-895e-90c6cb0610ce
1677,KICS,a6a4d4fc-4e8f-47d1-969f-e9d4a084f3b9,PSP Set To Privileged,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#privileged,https://docs.kics.io/latest/queries/terraform-queries/a6a4d4fc-4e8f-47d1-969f-e9d4a084f3b9
1678,KICS,48388bd2-7201-4dcc-b56d-e8a9efa58fad,PSP With Added Capabilities,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#allowed_capabilities,https://docs.kics.io/latest/queries/terraform-queries/48388bd2-7201-4dcc-b56d-e8a9efa58fad
1679,KICS,ca2fba76-c1a7-4afd-be67-5249f861cb0e,Tiller (Helm v2) Is Deployed,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#image,https://docs.kics.io/latest/queries/terraform-queries/ca2fba76-c1a7-4afd-be67-5249f861cb0e
1680,KICS,a737be28-37d8-4bff-aa6d-1be8aa0a0015,Workload Mounting With Sensitive OS Directory,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#host_path,https://docs.kics.io/latest/queries/terraform-queries/a737be28-37d8-4bff-aa6d-1be8aa0a0015
1681,KICS,a62a99d1-8196-432f-8f80-3c100b05d62a,Volume Mount With OS Directory Write Permissions,Terraform,,High,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#volume_mount,https://docs.kics.io/latest/queries/terraform-queries/a62a99d1-8196-432f-8f80-3c100b05d62a
1682,KICS,4e203a65-c8d8-49a2-b749-b124d43c9dc1,Docker Daemon Socket is Exposed to Containers,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#host_path,https://docs.kics.io/latest/queries/terraform-queries/4e203a65-c8d8-49a2-b749-b124d43c9dc1
1683,KICS,bd6bd46c-57db-4887-956d-d372f21291b6,Missing App Armor Config,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#annotations,https://docs.kics.io/latest/queries/terraform-queries/bd6bd46c-57db-4887-956d-d372f21291b6
1684,KICS,522d4a64-4dc9-44bd-9240-7d8a0d5cb5ba,Permissive Access to Create Pods,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/role#rule,https://docs.kics.io/latest/queries/terraform-queries/522d4a64-4dc9-44bd-9240-7d8a0d5cb5ba
1685,KICS,826abb30-3cd5-4e0b-a93b-67729b4f7e63,RBAC Roles with Read Secrets Permissions,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/role#rule,https://docs.kics.io/latest/queries/terraform-queries/826abb30-3cd5-4e0b-a93b-67729b4f7e63
1686,KICS,8657197e-3f87-4694-892b-8144701d83c1,Readiness Probe Is Not Configured,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#readiness_probe,https://docs.kics.io/latest/queries/terraform-queries/8657197e-3f87-4694-892b-8144701d83c1
1687,KICS,4c415497-7410-4559-90e8-f2c8ac64ee38,Root Containers Admitted,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#run_as_user,https://docs.kics.io/latest/queries/terraform-queries/4c415497-7410-4559-90e8-f2c8ac64ee38
1688,KICS,26b047a9-0329-48fd-8fb7-05bbe5ba80ee,Incorrect Volume Claim Access Mode ReadWriteOnce,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/stateful_set#volume_claim_template,https://docs.kics.io/latest/queries/terraform-queries/26b047a9-0329-48fd-8fb7-05bbe5ba80ee
1689,KICS,587d5d82-70cf-449b-9817-f60f9bccb88c,Container Host Pid Is True,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#host_pid,https://docs.kics.io/latest/queries/terraform-queries/587d5d82-70cf-449b-9817-f60f9bccb88c
1690,KICS,60af03ff-a421-45c8-b214-6741035476fa,Container Resources Limits Undefined,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod,https://docs.kics.io/latest/queries/terraform-queries/60af03ff-a421-45c8-b214-6741035476fa
1691,KICS,fe771ff7-ba15-4f8f-ad7a-8aa232b49a28,Containers With Added Capabilities,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#capabilities-1,https://docs.kics.io/latest/queries/terraform-queries/fe771ff7-ba15-4f8f-ad7a-8aa232b49a28
1692,KICS,e2c83c1f-84d7-4467-966c-ed41fd015bb9,Ingress Controller Exposes Workload,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/ingress#http,https://docs.kics.io/latest/queries/terraform-queries/e2c83c1f-84d7-4467-966c-ed41fd015bb9
1693,KICS,9aa32890-ac1a-45ee-81ca-5164e2098556,NET_RAW Capabilities Disabled for PSP,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod_security_policy#required_drop_capabilities,https://docs.kics.io/latest/queries/terraform-queries/9aa32890-ac1a-45ee-81ca-5164e2098556
1694,KICS,e5587d53-a673-4a6b-b3f2-ba07ec274def,NET_RAW Capabilities Not Being Dropped,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#drop,https://docs.kics.io/latest/queries/terraform-queries/e5587d53-a673-4a6b-b3f2-ba07ec274def
1695,KICS,455f2e0c-686d-4fcb-8b5f-3f953f12c43c,Seccomp Profile Is Not Configured,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#annotations,https://docs.kics.io/latest/queries/terraform-queries/455f2e0c-686d-4fcb-8b5f-3f953f12c43c
1696,KICS,3360c01e-c8c0-4812-96a2-a6329b9b7f9f,Role Binding To Default Service Account,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/role_binding#subject,https://docs.kics.io/latest/queries/terraform-queries/3360c01e-c8c0-4812-96a2-a6329b9b7f9f
1697,KICS,24b132df-5cc7-4823-8029-f898e1c50b72,Service Account Name Undefined Or Empty,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#service_account_name,https://docs.kics.io/latest/queries/terraform-queries/24b132df-5cc7-4823-8029-f898e1c50b72
1698,KICS,a9a13d4f-f17a-491b-b074-f54bffffcb4a,Service Account Token Automount Not Disabled,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#automount_service_account_token,https://docs.kics.io/latest/queries/terraform-queries/a9a13d4f-f17a-491b-b074-f54bffffcb4a
1699,KICS,2a52567c-abb8-4651-a038-52fa27c77aed,Service With External Load Balancer,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/service,https://docs.kics.io/latest/queries/terraform-queries/2a52567c-abb8-4651-a038-52fa27c77aed
1700,KICS,fd097ed0-7fe6-4f58-8b71-fef9f0820a21,Memory Limits Not Defined,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#limits,https://docs.kics.io/latest/queries/terraform-queries/fd097ed0-7fe6-4f58-8b71-fef9f0820a21
1701,KICS,21719347-d02b-497d-bda4-04a03c8e5b61,Memory Requests Not Defined,Terraform,,Medium,https://registry.terraform.io/providers/hashicorp/kubernetes/latest/docs/resources/pod#requests,https://docs.kics.io/latest/queries/terraform-queries/21719347-d02b-497d-bda4-04a03c8e5b61
