Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
KICS,6a647814-def5-4b85-88f5-897c19f509cd,Redshift Not Encrypted,NaN,Ansible,Encryption,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/6a647814-def5-4b85-88f5-897c19f509cd,https://registry.terraform.io/providers/hashicorp/aws/latest/docs/resources/redshift_cluster#encrypted
KICS,594f54e7-f744-45ab-93e4-c6dbaf6cd571,S3 Bucket Without Server-side-encryption,NaN,Ansible,Encryption,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/594f54e7-f744-45ab-93e4-c6dbaf6cd571,https://docs.ansible.com/ansible/latest/collections/amazon/aws/s3_bucket_module.html
KICS,c09f4d3e-27d2-4d46-9453-abbe9687a64e,User Data Contains Encoded Private Key,NaN,Ansible,Encryption,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/c09f4d3e-27d2-4d46-9453-abbe9687a64e,https://docs.ansible.com/ansible/latest/collections/community/aws/ec2_lc_module.html
KICS,defe5b18-978d-4722-9325-4d1975d3699f,Batch Job Definition With Privileged Container Properties,NaN,Ansible,Insecure Configurations,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/defe5b18-978d-4722-9325-4d1975d3699f,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_batch_job_definition_module.html
KICS,5330b503-3319-44ff-9b1c-00ee873f728a,EC2 Group Has Public Interface,NaN,Ansible,Insecure Configurations,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/5330b503-3319-44ff-9b1c-00ee873f728a,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,5b9d237a-57d5-4177-be0e-71434b0fef47,KMS Key With Vulnerable Policy,NaN,Ansible,Insecure Configurations,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/5b9d237a-57d5-4177-be0e-71434b0fef47,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_kms_module.html
KICS,5c6b727b-1382-4629-8ba9-abd1365e5610,Redshift Publicly Accessible,NaN,Ansible,Insecure Configurations,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/5c6b727b-1382-4629-8ba9-abd1365e5610,https://docs.ansible.com/ansible/latest/collections/community/aws/redshift_module.html
KICS,e71d0bc7-d9e8-4e6e-ae90-0a4206db6f40,Root Account Has Active Access Keys,NaN,Ansible,Insecure Configurations,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/e71d0bc7-d9e8-4e6e-ae90-0a4206db6f40,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_module.html
KICS,ea0ed1c7-9aef-4464-b7c7-94c762da3640,DB Security Group Open To Large Scope,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/ea0ed1c7-9aef-4464-b7c7-94c762da3640,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html#ansible-collections-amazon-aws-ec2-group-module
KICS,8010e17a-00e9-4635-a692-90d6bcec68bd,Default Security Groups With Unrestricted Traffic,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/8010e17a-00e9-4635-a692-90d6bcec68bd,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,71ea648a-d31a-4b5a-a589-5674243f1c33,Public Port Wide,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/71ea648a-d31a-4b5a-a589-5674243f1c33,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,eda7301d-1f3e-47cf-8d4e-976debc64341,Remote Desktop Port Open To Internet,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/eda7301d-1f3e-47cf-8d4e-976debc64341,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html#ansible-collections-amazon-aws-ec2-group-module
KICS,445dce51-7e53-4e50-80ef-7f94f14169e4,Route53 Record Undefined,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/445dce51-7e53-4e50-80ef-7f94f14169e4,https://docs.ansible.com/ansible/latest/collections/community/aws/route53_module.html#parameter-value
KICS,ea6bc7a6-d696-4dcf-a788-17fa03c17c81,Security Group Ingress Not Restricted,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/ea6bc7a6-d696-4dcf-a788-17fa03c17c81,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,722b0f24-5a64-4cca-aa96-cfc26b7e3a5b,Unknown Port Exposed To Internet,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/722b0f24-5a64-4cca-aa96-cfc26b7e3a5b,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,83c5fa4c-e098-48fc-84ee-0a537287ddd2,Unrestricted Security Group Ingress,NaN,Ansible,Networking and Firewall,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/83c5fa4c-e098-48fc-84ee-0a537287ddd2,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,c2f15af3-66a0-4176-a56e-e4711e502e5c,Hardcoded AWS Access Key,NaN,Ansible,Secret Management,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/c2f15af3-66a0-4176-a56e-e4711e502e5c,https://docs.ansible.com/ansible/latest/collections/community/aws/ec2_instance_module.html
KICS,f34508b9-f574-4330-b42d-88c44cced645,Hardcoded AWS Access Key In Lambda,NaN,Ansible,Secret Management,AWS,High,https://docs.kics.io/latest/queries/ansible-queries/aws/f34508b9-f574-4330-b42d-88c44cced645,https://docs.ansible.com/ansible/latest/collections/community/aws/lambda_module.html
KICS,a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,AMI Shared With Multiple Accounts,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/a19b2942-142e-4e2b-93b7-6cf6a6c8d90f,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_ami_module.html
KICS,b16cdb37-ce15-4ab2-8401-d42b05d123fc,API Gateway Without Configured Authorizer,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/b16cdb37-ce15-4ab2-8401-d42b05d123fc,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_api_gateway_module.html
KICS,5a443297-19d4-4381-9e5b-24faf947ec22,Certificate Has Expired,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/5a443297-19d4-4381-9e5b-24faf947ec22,https://docs.ansible.com/ansible/2.10/collections/community/aws/aws_acm_module.html
KICS,8d03993b-8384-419b-a681-d1f55149397c,EC2 Instance Using Default Security Group,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/8d03993b-8384-419b-a681-d1f55149397c,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_module.html#parameter-group
KICS,7f79f858-fbe8-4186-8a2c-dfd0d958a40f,IAM Access Key Is Exposed,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/7f79f858-fbe8-4186-8a2c-dfd0d958a40f,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_module.html
KICS,f509931b-bbb0-443c-bd9b-10e92ecf2193,IAM Group Without Users,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/f509931b-bbb0-443c-bd9b-10e92ecf2193,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_group_module.html
KICS,eafe4bc3-1042-4f88-b988-1939e64bf060,IAM Policies Attached To User,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/eafe4bc3-1042-4f88-b988-1939e64bf060,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_policy_module.html
KICS,e401d614-8026-4f4b-9af9-75d1197461ba,IAM Policies With Full Privileges,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/e401d614-8026-4f4b-9af9-75d1197461ba,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_managed_policy_module.html
KICS,12a7a7ce-39d6-49dd-923d-aeb4564eb66c,IAM Policy Grants 'AssumeRole' Permission Across All Services,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/12a7a7ce-39d6-49dd-923d-aeb4564eb66c,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_managed_policy_module.html
KICS,babdedcf-d859-43da-9a7b-6d72e661a8fd,IAM Role Allows All Principals To Assume,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/babdedcf-d859-43da-9a7b-6d72e661a8fd,https://docs.ansible.com/ansible/latest/collections/community/aws/iam_managed_policy_module.html
KICS,1d972c56-8ec2-48c1-a578-887adb09c57a,Lambda Permission Principal Is Wildcard,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/1d972c56-8ec2-48c1-a578-887adb09c57a,https://docs.ansible.com/ansible/latest/collections/community/aws/lambda_policy_module.html
KICS,5e92d816-2177-4083-85b4-f61b4f7176d9,Public Lambda via API Gateway,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/5e92d816-2177-4083-85b4-f61b4f7176d9,https://docs.ansible.com/ansible/2.4/lambda_policy_module.html
KICS,8ed0bfce-f780-46d4-b086-21c3628f09ad,SES Policy With Allowed IAM Actions,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/8ed0bfce-f780-46d4-b086-21c3628f09ad,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_ses_identity_policy_module.html#parameter-policy
KICS,d994585f-defb-4b51-b6d2-c70f020ceb10,SQS Policy With Public Access,NaN,Ansible,Access Control,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/d994585f-defb-4b51-b6d2-c70f020ceb10,https://docs.ansible.com/ansible/latest/collections/community/aws/sqs_queue_module.html
KICS,050f085f-a8db-4072-9010-2cca235cc02f,Auto Scaling Group With No Associated ELB,NaN,Ansible,Availability,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/050f085f-a8db-4072-9010-2cca235cc02f,https://docs.ansible.com/ansible/latest/collections/community/aws/ec2_asg_module.html#parameter-load_balancers
KICS,133fee21-37ef-45df-a563-4d07edc169f4,CMK Is Unusable,NaN,Ansible,Availability,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/133fee21-37ef-45df-a563-4d07edc169f4,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_kms_module.html#parameter-enabled
KICS,e69890e6-fce5-461d-98ad-cb98318dfc96,RDS With Backup Disabled,NaN,Ansible,Backup,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/e69890e6-fce5-461d-98ad-cb98318dfc96,https://docs.ansible.com/ansible/latest/collections/community/aws/rds_instance_module.html#parameter-backup_retention_period
KICS,9232306a-f839-40aa-b3ef-b352001da9a5,S3 Bucket Without Versioning,NaN,Ansible,Backup,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/9232306a-f839-40aa-b3ef-b352001da9a5,https://docs.ansible.com/ansible/latest/collections/amazon/aws/s3_bucket_module.html#parameter-versioning
KICS,17d5ba1d-7667-4729-b1a6-b11fde3db7f7,Stack Retention Disabled,NaN,Ansible,Backup,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/17d5ba1d-7667-4729-b1a6-b11fde3db7f7,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudformation_stack_set_module.html#parameter-purge_stacks
KICS,97707503-a22c-4cd7-b7c0-f088fa7cf830,AMI Not Encrypted,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/97707503-a22c-4cd7-b7c0-f088fa7cf830,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_ami_module.html
KICS,5eccd62d-8b4d-46d3-83ea-1879f3cbd3ce,CA Certificate Identifier Is Outdated,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/5eccd62d-8b4d-46d3-83ea-1879f3cbd3ce,https://docs.ansible.com/ansible/latest/collections/community/aws/rds_instance_module.html#parameter-ca_certificate_identifier
KICS,a6d27cf7-61dc-4bde-ae08-3b353b609f76,Cloudfront Viewer Protocol Policy Allows HTTP,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/a6d27cf7-61dc-4bde-ae08-3b353b609f76,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudfront_distribution_module.html
KICS,a1423864-2fbc-4f46-bfe1-fbbf125c71c9,CodeBuild Not Encrypted,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/a1423864-2fbc-4f46-bfe1-fbbf125c71c9,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_codebuild_module.html
KICS,730a5951-2760-407a-b032-dd629b55c23a,ELB Using Insecure Protocols,NaN,Ansible,Encryption,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/730a5951-2760-407a-b032-dd629b55c23a,https://docs.ansible.com/ansible/latest/collections/community/aws/elb_application_lb_module.html
